class,model,method,file_path,module
ProjectRepairTaskWorkflowTrigger,project.repair.task.workflow.trigger,default_get,C:\Cursor\Odoo\csl_addons\csl_repair\models\project_repair_task_workflow.py,csl_repair
ProjectTask,project.task,action_timer_stop,C:\Cursor\Odoo\csl_addons\csl_repair\models\project_task.py,csl_repair
ProjectTask,project.task,_get_timesheet,C:\Cursor\Odoo\csl_addons\csl_repair\models\project_task.py,csl_repair
ProjectTask,project.task,create,C:\Cursor\Odoo\csl_addons\csl_repair\models\project_task.py,csl_repair
ProjectTask,project.task,copy,C:\Cursor\Odoo\csl_addons\csl_repair\models\project_task.py,csl_repair
ProjectTask,project.task,fields_view_get,C:\Cursor\Odoo\csl_addons\csl_repair\models\project_task.py,csl_repair
ProjectTask,project.task,write,C:\Cursor\Odoo\csl_addons\csl_repair\models\project_task.py,csl_repair
ProjectTaskProduct,project.task.product,unlink,C:\Cursor\Odoo\csl_addons\csl_repair\models\project_task_product.py,csl_repair
ProjectTaskProduct,project.task.product,write,C:\Cursor\Odoo\csl_addons\csl_repair\models\project_task_product.py,csl_repair
PurchaseOrder,purchase.order,button_confirm,C:\Cursor\Odoo\csl_addons\csl_repair\models\purchase.py,csl_repair
PurchaseOrder,purchase.order,action_create_invoice,C:\Cursor\Odoo\csl_addons\csl_repair\models\purchase.py,csl_repair
PurchaseOrder,purchase.order,write,C:\Cursor\Odoo\csl_addons\csl_repair\models\purchase.py,csl_repair
PurchaseOrder,purchase.order,_prepare_picking,C:\Cursor\Odoo\csl_addons\csl_repair\models\purchase.py,csl_repair
ResConfigSettings,res.config.settings,set_values,C:\Cursor\Odoo\csl_addons\csl_repair\models\res_config_settings.py,csl_repair
ResConfigSettings,res.config.settings,get_values,C:\Cursor\Odoo\csl_addons\csl_repair\models\res_config_settings.py,csl_repair
MailActivity,mail.activity,_action_done,C:\Cursor\Odoo\csl_addons\csl_repair\models\res_partner.py,csl_repair
SaleOrder,sale.order,_prepare_invoice,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrder,sale.order,write,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrder,sale.order,action_quotation_send,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrder,sale.order,message_post,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrder,sale.order,action_confirm,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrder,sale.order,action_cancel,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrder,sale.order,_amount_by_group,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrder,sale.order,create,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrder,sale.order,onchange_partner_id,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrder,sale.order,action_view_task,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrder,sale.order,name_search,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrder,sale.order,search_read,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrderLine,sale.order.line,default_get,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrderLine,sale.order.line,_compute_invoice_status,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrderLine,sale.order.line,product_id_change,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrderLine,sale.order.line,_compute_amount,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrderLine,sale.order.line,name_get,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrderLine,sale.order.line,_name_search,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrderLine,sale.order.line,_prepare_invoice_line,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrderLine,sale.order.line,_compute_qty_at_date,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrderLine,sale.order.line,write,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleOrderLine,sale.order.line,_prepare_procurement_values,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale.py,csl_repair
SaleReport,sale.report,_query,C:\Cursor\Odoo\csl_addons\csl_repair\models\sale_report.py,csl_repair
StockMoveLine,stock.move.line,_get_aggregated_product_quantities,C:\Cursor\Odoo\csl_addons\csl_repair\models\stock.py,csl_repair
StockRule,stock.rule,_get_stock_move_values,C:\Cursor\Odoo\csl_addons\csl_repair\models\stock.py,csl_repair
StockPicking,stock.picking,button_validate,C:\Cursor\Odoo\csl_addons\csl_repair\models\stock_picking.py,csl_repair
StockPicking,stock.picking,_action_done,C:\Cursor\Odoo\csl_addons\csl_repair\models\stock_picking.py,csl_repair
