class,model,method,file_path,module
PlaidProviderAccount,account.online.provider,get_login_form,C:\Odoo\sh\src\enterprise\account_plaid\models\plaid.py,account_plaid
PlaidProviderAccount,account.online.provider,manual_sync,C:\Odoo\sh\src\enterprise\account_plaid\models\plaid.py,account_plaid
PlaidProviderAccount,account.online.provider,update_credentials,C:\Odoo\sh\src\enterprise\account_plaid\models\plaid.py,account_plaid
PlaidProviderAccount,account.online.provider,cron_fetch_online_transactions,C:\Odoo\sh\src\enterprise\account_plaid\models\plaid.py,account_plaid
PlaidProviderAccount,account.online.provider,unlink,C:\Odoo\sh\src\enterprise\account_plaid\models\plaid.py,account_plaid
PlaidAccount,account.online.journal,retrieve_transactions,C:\Odoo\sh\src\enterprise\account_plaid\models\plaid.py,account_plaid
ProviderAccount,account.online.provider,_get_available_providers,C:\Odoo\sh\src\enterprise\account_ponto\models\ponto.py,account_ponto
ProviderAccount,account.online.provider,get_login_form,C:\Odoo\sh\src\enterprise\account_ponto\models\ponto.py,account_ponto
ProviderAccount,account.online.provider,manual_sync,C:\Odoo\sh\src\enterprise\account_ponto\models\ponto.py,account_ponto
ProviderAccount,account.online.provider,update_credentials,C:\Odoo\sh\src\enterprise\account_ponto\models\ponto.py,account_ponto
ProviderAccount,account.online.provider,cron_fetch_online_transactions,C:\Odoo\sh\src\enterprise\account_ponto\models\ponto.py,account_ponto
OnlineAccount,account.online.journal,retrieve_transactions,C:\Odoo\sh\src\enterprise\account_ponto\models\ponto.py,account_ponto
OnlineAccountWizard,account.online.wizard,_get_journal_values,C:\Odoo\sh\src\enterprise\account_ponto\models\ponto.py,account_ponto
AccountMove,account.move,_onchange_recompute_dynamic_lines,C:\Odoo\sh\src\enterprise\account_predictive_bills\models\account_invoice.py,account_predictive_bills
AccountMove,account.move,_post,C:\Odoo\sh\src\enterprise\account_reports\models\account_activity.py,account_reports
ReportAccountAgedPartner,account.aged.partner,_get_templates,C:\Odoo\sh\src\enterprise\account_reports\models\account_aged_partner_balance.py,account_reports
ReportAccountAgedPartner,account.aged.partner,_show_line,C:\Odoo\sh\src\enterprise\account_reports\models\account_aged_partner_balance.py,account_reports
ReportAccountAgedReceivable,account.aged.receivable,_get_options,C:\Odoo\sh\src\enterprise\account_reports\models\account_aged_partner_balance.py,account_reports
ReportAccountAgedReceivable,account.aged.receivable,_get_templates,C:\Odoo\sh\src\enterprise\account_reports\models\account_aged_partner_balance.py,account_reports
ReportAccountAgedPayable,account.aged.payable,_get_options,C:\Odoo\sh\src\enterprise\account_reports\models\account_aged_partner_balance.py,account_reports
ReportAccountAgedPayable,account.aged.payable,_get_templates,C:\Odoo\sh\src\enterprise\account_reports\models\account_aged_partner_balance.py,account_reports
AccountBankReconciliationReport,account.bank.reconciliation.report,_get_templates,C:\Odoo\sh\src\enterprise\account_reports\models\account_bank_reconciliation_report.py,account_reports
report_account_consolidated_journal,account.consolidated.journal,_get_options,C:\Odoo\sh\src\enterprise\account_reports\models\account_consolidated_journals.py,account_reports
ReportAccountFinancialReport,account.financial.html.report,_get_options_domain,C:\Odoo\sh\src\enterprise\account_reports\models\account_financial_report.py,account_reports
ReportAccountFinancialReport,account.financial.html.report,_get_options,C:\Odoo\sh\src\enterprise\account_reports\models\account_financial_report.py,account_reports
ReportAccountFinancialReport,account.financial.html.report,_set_context,C:\Odoo\sh\src\enterprise\account_reports\models\account_financial_report.py,account_reports
ReportAccountFinancialReport,account.financial.html.report,create,C:\Odoo\sh\src\enterprise\account_reports\models\account_financial_report.py,account_reports
ReportAccountFinancialReport,account.financial.html.report,write,C:\Odoo\sh\src\enterprise\account_reports\models\account_financial_report.py,account_reports
ReportAccountFinancialReport,account.financial.html.report,unlink,C:\Odoo\sh\src\enterprise\account_reports\models\account_financial_report.py,account_reports
ReportAccountFinancialReport,account.financial.html.report,copy,C:\Odoo\sh\src\enterprise\account_reports\models\account_financial_report.py,account_reports
AccountGeneralLedgerReport,account.general.ledger,_get_templates,C:\Odoo\sh\src\enterprise\account_reports\models\account_general_ledger.py,account_reports
AccountGeneralLedgerReport,account.general.ledger,_get_options_domain,C:\Odoo\sh\src\enterprise\account_reports\models\account_general_ledger.py,account_reports
generic_tax_report,account.generic.tax.report,_init_filter_date,C:\Odoo\sh\src\enterprise\account_reports\models\account_generic_tax_report.py,account_reports
generic_tax_report,account.generic.tax.report,_get_options,C:\Odoo\sh\src\enterprise\account_reports\models\account_generic_tax_report.py,account_reports
generic_tax_report,account.generic.tax.report,_get_reports_buttons,C:\Odoo\sh\src\enterprise\account_reports\models\account_generic_tax_report.py,account_reports
generic_tax_report,account.generic.tax.report,_get_templates,C:\Odoo\sh\src\enterprise\account_reports\models\account_generic_tax_report.py,account_reports
MulticurrencyRevaluationReport,account.multicurrency.revaluation,_get_templates,C:\Odoo\sh\src\enterprise\account_reports\models\account_multicurrency_revaluation_report.py,account_reports
MulticurrencyRevaluationReport,account.multicurrency.revaluation,_get_reports_buttons,C:\Odoo\sh\src\enterprise\account_reports\models\account_multicurrency_revaluation_report.py,account_reports
MulticurrencyRevaluationReport,account.multicurrency.revaluation,_get_options,C:\Odoo\sh\src\enterprise\account_reports\models\account_multicurrency_revaluation_report.py,account_reports
ReportPartnerLedger,account.partner.ledger,_get_templates,C:\Odoo\sh\src\enterprise\account_reports\models\account_partner_ledger.py,account_reports
ReportPartnerLedger,account.partner.ledger,_get_options_domain,C:\Odoo\sh\src\enterprise\account_reports\models\account_partner_ledger.py,account_reports
AccountChartOfAccountReport,account.coa.report,_get_templates,C:\Odoo\sh\src\enterprise\account_reports\models\account_report_coa.py,account_reports
AccountChartTemplate,account.chart.template,_load,C:\Odoo\sh\src\enterprise\account_reports\models\chart_template.py,account_reports
IrModuleModule,ir.module.module,_update_translations,C:\Odoo\sh\src\enterprise\account_reports\models\ir_module_module.py,account_reports
ResCompany,res.company,write,C:\Odoo\sh\src\enterprise\account_reports\models\res_company.py,account_reports
ResConfigSettings,res.config.settings,set_values,C:\Odoo\sh\src\enterprise\account_reports\models\res_config_settings.py,account_reports
FinancialYearOpeningWizard,account.financial.year.op,write,C:\Odoo\sh\src\enterprise\account_reports\wizard\fiscal_year.py,account_reports
MulticurrencyRevaluationWizard,account.multicurrency.revaluation.wizard,default_get,C:\Odoo\sh\src\enterprise\account_reports\wizard\multicurrency_revaluation.py,account_reports
ReportExportWizard,account_reports.export.wizard,create,C:\Odoo\sh\src\enterprise\account_reports\wizard\report_export_wizard.py,account_reports
AccountReport,account.report,_cr_execute,C:\Odoo\sh\src\enterprise\account_reports_cash_basis\models\account_report.py,account_reports_cash_basis
AccountChartOfAccountReport,account.coa.report,_get_lines,C:\Odoo\sh\src\enterprise\account_reports_cash_basis\models\account_report.py,account_reports_cash_basis
ReportGeneralLedger,account.general.ledger,_get_lines,C:\Odoo\sh\src\enterprise\account_reports_cash_basis\models\account_report.py,account_reports_cash_basis
ReportAccountFinancialReport,account.financial.html.report,_get_lines,C:\Odoo\sh\src\enterprise\account_reports_cash_basis\models\account_report.py,account_reports_cash_basis
ReportAccountFinancialReport,account.financial.html.report,_get_table,C:\Odoo\sh\src\enterprise\account_reports_cash_basis\models\account_report.py,account_reports_cash_basis
generic_tax_report,account.generic.tax.report,_get_templates,C:\Odoo\sh\src\enterprise\account_reports_tax\models\account_generic_tax_report.py,account_reports_tax
AccountGeneralLedger,account.general.ledger,get_xml,C:\Odoo\sh\src\enterprise\account_saft\models\account_saft_report.py,account_saft
AccountBatchPayment,account.batch.payment,_get_methods_generating_files,C:\Odoo\sh\src\enterprise\account_sepa\models\account_batch_payment.py,account_sepa
AccountBatchPayment,account.batch.payment,validate_batch,C:\Odoo\sh\src\enterprise\account_sepa\models\account_batch_payment.py,account_sepa
AccountBatchPayment,account.batch.payment,check_payments_for_warnings,C:\Odoo\sh\src\enterprise\account_sepa\models\account_batch_payment.py,account_sepa
AccountBatchPayment,account.batch.payment,check_payments_for_errors,C:\Odoo\sh\src\enterprise\account_sepa\models\account_batch_payment.py,account_sepa
AccountBatchPayment,account.batch.payment,_generate_export_file,C:\Odoo\sh\src\enterprise\account_sepa\models\account_batch_payment.py,account_sepa
AccountJournal,account.journal,_default_outbound_payment_methods,C:\Odoo\sh\src\enterprise\account_sepa\models\account_journal.py,account_sepa
account_journal,account.journal,get_journal_dashboard_datas,C:\Odoo\sh\src\enterprise\account_sepa\models\account_journal_dashboard.py,account_sepa
AccountPayment,account.payment,_get_method_codes_using_bank_account,C:\Odoo\sh\src\enterprise\account_sepa\models\account_payment.py,account_sepa
AccountPayment,account.payment,_get_method_codes_needing_bank_account,C:\Odoo\sh\src\enterprise\account_sepa\models\account_payment.py,account_sepa
AccountPaymentRegister,account.payment.register,_create_payment_vals_from_batch,C:\Odoo\sh\src\enterprise\account_sepa\models\account_payment_register.py,account_sepa
ResCompany,res.company,create,C:\Odoo\sh\src\enterprise\account_sepa\models\res_company.py,account_sepa
AccountBatchPayment,account.batch.payment,_get_methods_generating_files,C:\Odoo\sh\src\enterprise\account_sepa_direct_debit\models\account_batch_payment.py,account_sepa_direct_debit
AccountBatchPayment,account.batch.payment,_check_payments_constrains,C:\Odoo\sh\src\enterprise\account_sepa_direct_debit\models\account_batch_payment.py,account_sepa_direct_debit
AccountBatchPayment,account.batch.payment,validate_batch,C:\Odoo\sh\src\enterprise\account_sepa_direct_debit\models\account_batch_payment.py,account_sepa_direct_debit
AccountBatchPayment,account.batch.payment,_check_and_post_draft_payments,C:\Odoo\sh\src\enterprise\account_sepa_direct_debit\models\account_batch_payment.py,account_sepa_direct_debit
AccountBatchPayment,account.batch.payment,_generate_export_file,C:\Odoo\sh\src\enterprise\account_sepa_direct_debit\models\account_batch_payment.py,account_sepa_direct_debit
AccountBatchPayment,account.batch.payment,check_payments_for_errors,C:\Odoo\sh\src\enterprise\account_sepa_direct_debit\models\account_batch_payment.py,account_sepa_direct_debit
AccountMove,account.move,_post,C:\Odoo\sh\src\enterprise\account_sepa_direct_debit\models\account_invoice.py,account_sepa_direct_debit
AccountMove,account.move,_track_subtype,C:\Odoo\sh\src\enterprise\account_sepa_direct_debit\models\account_invoice.py,account_sepa_direct_debit
AccountMoveLine,account.move.line,reconcile,C:\Odoo\sh\src\enterprise\account_sepa_direct_debit\models\account_invoice.py,account_sepa_direct_debit
AccountJournal,account.journal,get_batch_payment_methods_list,C:\Odoo\sh\src\enterprise\account_sepa_direct_debit\models\account_journal.py,account_sepa_direct_debit
AccountJournal,account.journal,_default_inbound_payment_methods,C:\Odoo\sh\src\enterprise\account_sepa_direct_debit\models\account_journal.py,account_sepa_direct_debit
AccountJournal,account.journal,get_journal_dashboard_datas,C:\Odoo\sh\src\enterprise\account_sepa_direct_debit\models\account_journal.py,account_sepa_direct_debit
ResPartnerBank,res.partner.bank,unlink,C:\Odoo\sh\src\enterprise\account_sepa_direct_debit\models\res_partner_bank.py,account_sepa_direct_debit
SDDMandate,sdd.mandate,unlink,C:\Odoo\sh\src\enterprise\account_sepa_direct_debit\models\sdd_mandate.py,account_sepa_direct_debit
AccountMove,account.move,_post,C:\Odoo\sh\src\enterprise\account_taxcloud\models\account_invoice.py,account_taxcloud
AccountMove,account.move,button_draft,C:\Odoo\sh\src\enterprise\account_taxcloud\models\account_invoice.py,account_taxcloud
AccountMove,account.move,action_invoice_paid,C:\Odoo\sh\src\enterprise\account_taxcloud\models\account_invoice.py,account_taxcloud
ResCompany,res.company,get_account_dashboard_onboarding_steps_states_names,C:\Odoo\sh\src\enterprise\account_winbooks_import\models\res_company.py,account_winbooks_import
YodleeProviderAccount,account.online.provider,_get_available_providers,C:\Odoo\sh\src\enterprise\account_yodlee\models\yodlee.py,account_yodlee
YodleeProviderAccount,account.online.provider,get_login_form,C:\Odoo\sh\src\enterprise\account_yodlee\models\yodlee.py,account_yodlee
YodleeProviderAccount,account.online.provider,update_credentials,C:\Odoo\sh\src\enterprise\account_yodlee\models\yodlee.py,account_yodlee
YodleeProviderAccount,account.online.provider,manual_sync,C:\Odoo\sh\src\enterprise\account_yodlee\models\yodlee.py,account_yodlee
YodleeProviderAccount,account.online.provider,cron_fetch_online_transactions,C:\Odoo\sh\src\enterprise\account_yodlee\models\yodlee.py,account_yodlee
YodleeProviderAccount,account.online.provider,unlink,C:\Odoo\sh\src\enterprise\account_yodlee\models\yodlee.py,account_yodlee
YodleeAccount,account.online.journal,retrieve_transactions,C:\Odoo\sh\src\enterprise\account_yodlee\models\yodlee.py,account_yodlee
AccountAnalyticLine,account.analytic.line,_grid_start_of,C:\Odoo\sh\src\enterprise\analytic_enterprise\models\models.py,analytic_enterprise
AccountAnalyticLine,account.analytic.line,_grid_end_of,C:\Odoo\sh\src\enterprise\analytic_enterprise\models\models.py,analytic_enterprise
MailActivity,mail.activity,activity_format,C:\Odoo\sh\src\enterprise\approvals\models\approval_activity.py,approvals
ApprovalCategory,approval.category,create,C:\Odoo\sh\src\enterprise\approvals\models\approval_category.py,approvals
ApprovalCategory,approval.category,write,C:\Odoo\sh\src\enterprise\approvals\models\approval_category.py,approvals
ApprovalRequest,approval.request,action_approve,C:\Odoo\sh\src\enterprise\approvals_purchase\models\approval_request.py,approvals_purchase
ApprovalRequest,approval.request,action_cancel,C:\Odoo\sh\src\enterprise\approvals_purchase\models\approval_request.py,approvals_purchase
ApprovalRequest,approval.request,action_confirm,C:\Odoo\sh\src\enterprise\approvals_purchase\models\approval_request.py,approvals_purchase
ApprovalProductLine,approval.product.line,_get_purchase_orders_domain,C:\Odoo\sh\src\enterprise\approvals_purchase_stock\models\approval_product_line.py,approvals_purchase_stock
ApprovalProductLine,approval.product.line,_get_purchase_order_values,C:\Odoo\sh\src\enterprise\approvals_purchase_stock\models\approval_product_line.py,approvals_purchase_stock
BaseAutomation,base.automation,_check_delay,C:\Odoo\sh\src\enterprise\base_automation_hr_contract\models\base_automation.py,base_automation_hr_contract
ActivityReport,crm.activity.report,_select,C:\Odoo\sh\src\enterprise\crm_enterprise\report\crm_activity_report.py,crm_enterprise
CrmLeadConvert2Ticket,crm.lead.convert2ticket,default_get,C:\Odoo\sh\src\enterprise\crm_helpdesk\wizard\crm_lead_convert2ticket.py,crm_helpdesk
ResCompany,res.company,create,C:\Odoo\sh\src\enterprise\currency_rate_live\models\res_config_settings.py,currency_rate_live
DataCleaningModel,data_cleaning.model,write,C:\Odoo\sh\src\enterprise\data_cleaning\models\data_cleaning_model.py,data_cleaning
DataCleaningRecord,data_cleaning.record,create,C:\Odoo\sh\src\enterprise\data_cleaning\models\data_cleaning_record.py,data_cleaning
DataMergeModel,data_merge.model,copy,C:\Odoo\sh\src\enterprise\data_merge\models\data_merge_model.py,data_merge
DataMergeModel,data_merge.model,write,C:\Odoo\sh\src\enterprise\data_merge\models\data_merge_model.py,data_merge
DataMergeRecord,data_merge.record,create,C:\Odoo\sh\src\enterprise\data_merge\models\data_merge_record.py,data_merge
DataMergeRecord,data_merge.record,write,C:\Odoo\sh\src\enterprise\data_merge\models\data_merge_record.py,data_merge
ProviderBpost,delivery.carrier,_compute_can_generate_return,C:\Odoo\sh\src\enterprise\delivery_bpost\models\delivery_bpost.py,delivery_bpost
Providerdhl,delivery.carrier,_compute_can_generate_return,C:\Odoo\sh\src\enterprise\delivery_dhl\models\delivery_dhl.py,delivery_dhl
DeliverCarrier,delivery.carrier,_compute_can_generate_return,C:\Odoo\sh\src\enterprise\delivery_easypost\models\delivery_carrier.py,delivery_easypost
ProviderFedex,delivery.carrier,_compute_can_generate_return,C:\Odoo\sh\src\enterprise\delivery_fedex\models\delivery_fedex.py,delivery_fedex
StockPicking,stock.picking,message_post,C:\Odoo\sh\src\enterprise\delivery_iot\models\stock_picking.py,delivery_iot
ChooseDeliveryPackage,choose.delivery.package,default_get,C:\Odoo\sh\src\enterprise\delivery_iot\wizard\choose_delivery_package.py,delivery_iot
ProviderUPS,delivery.carrier,_compute_can_generate_return,C:\Odoo\sh\src\enterprise\delivery_ups\models\delivery_ups.py,delivery_ups
